feature_i,feature_j,mean_abs_pearson,mean_abs_spearman,days_scored,expected_development_days,available_development_days,missing_development_days
PB1_T1,VB1_T10,0.033439459036023654,0.030969737320589788,70,85,70,15
PB1_T1,VB1_T11,0.03405636407242588,0.03317513808413389,70,85,70,15
PB1_T1,VB1_T12,0.03497172942242421,0.034548480864748904,70,85,70,15
PB1_T1,VB2_T1,0.11407736235596476,0.04606058682406783,70,85,70,15
PB1_T1,VB2_T2,0.08908569227064321,0.04174528103382631,70,85,70,15
PB1_T1,VB2_T3,0.05800776377759969,0.03981589936858208,70,85,70,15
PB1_T1,VB2_T4,0.05359476696486982,0.03838226308223284,70,85,70,15
PB1_T1,VB2_T5,0.05000023660650495,0.038015321608230956,70,85,70,15
PB1_T1,VB2_T6,0.049095601735816966,0.03756974602994031,70,85,70,15
PB1_T1,VB2_T7,0.04721579475339614,0.035544467434756755,70,85,70,15
PB1_T1,VB2_T8,0.04581179237743939,0.03654815203300277,70,85,70,15
PB1_T1,VB2_T9,0.04580362534780279,0.03951354286293682,70,85,70,15
PB1_T1,VB2_T10,0.04486839915372573,0.03671140258857791,70,85,70,15
PB1_T1,VB2_T11,0.04526849692325082,0.03796361107355584,70,85,70,15
PB1_T1,VB2_T12,0.044498704630114294,0.0372581387838629,70,85,70,15
PB1_T1,VB3_T1,0.11020519914370977,0.048685772951632546,70,85,70,15
PB1_T1,VB3_T2,0.09987718604876782,0.04422541011818332,70,85,70,15
PB1_T1,VB3_T3,0.07370854332512501,0.03992480521968377,70,85,70,15
PB1_T1,VB3_T4,0.0626714084193879,0.04091718144568951,70,85,70,15
PB1_T1,VB3_T5,0.05569898671208256,0.03931429204609026,70,85,70,15
PB1_T1,VB3_T6,0.048950536244719456,0.037533029975137626,70,85,70,15
PB1_T1,VB3_T7,0.04923190060168968,0.03858680606609796,70,85,70,15
PB1_T1,VB3_T8,0.045880435883056465,0.03646861557639914,70,85,70,15
PB1_T1,VB3_T9,0.045381745533178475,0.03804740053345899,70,85,70,15
PB1_T1,VB3_T10,0.0434024766853906,0.035174448295649335,70,85,70,15
PB1_T1,VB3_T11,0.042620642195092845,0.03574800738541559,70,85,70,15
PB1_T1,VB3_T12,0.04422358613763761,0.03859596297409211,70,85,70,15
PB1_T1,VB4_T1,0.11021661655264245,0.04869964352255993,70,85,70,15
PB1_T1,VB4_T2,0.09987910923880886,0.044225529638208354,70,85,70,15
PB1_T1,VB4_T3,0.07370745542003691,0.039922740197039217,70,85,70,15
PB1_T1,VB4_T4,0.06266964118390521,0.04091435325726605,70,85,70,15
PB1_T1,VB4_T5,0.05569736468897124,0.0393124658469709,70,85,70,15
PB1_T1,VB4_T6,0.048949240885230456,0.037531071045179394,70,85,70,15
PB1_T1,VB4_T7,0.04923047017462242,0.03858933870998275,70,85,70,15
PB1_T1,VB4_T8,0.04587890951939356,0.03647329630143597,70,85,70,15
PB1_T1,VB4_T9,0.04538023810532481,0.03805170480737811,70,85,70,15
PB1_T1,VB4_T10,0.04340113568844275,0.03517926048294614,70,85,70,15
PB1_T1,VB4_T11,0.04261969642177929,0.035746172594676134,70,85,70,15
PB1_T1,VB4_T12,0.044222838764975354,0.038591798430940114,70,85,70,15
PB1_T1,VB5_T1,0.141232884077007,0.047866998323979414,70,85,70,15
PB1_T1,VB5_T2,0.11957173456746051,0.04851815899152277,70,85,70,15
PB1_T1,VB5_T3,0.07430802446226906,0.039857196096548975,70,85,70,15
PB1_T1,VB5_T4,0.06245823258409661,0.03629312963572325,70,85,70,15
PB1_T1,VB5_T5,0.06027366095329933,0.037085298582406646,70,85,70,15
PB1_T1,VB5_T6,0.051491629197100076,0.03531562368305959,70,85,70,15
PB1_T1,VB5_T7,0.04566135185661946,0.039136343946274854,70,85,70,15
PB1_T1,VB5_T8,0.03614705101494207,0.031167483195542717,70,85,70,15
PB1_T1,VB5_T9,0.03700996428848902,0.033521709396765284,70,85,70,15
PB1_T1,VB5_T10,0.03358218546373204,0.030729957230242647,70,85,70,15
PB1_T1,VB5_T11,0.035235730629318285,0.032060393546988954,70,85,70,15
PB1_T1,VB5_T12,0.03255914101483956,0.03238857660389703,70,85,70,15
PB1_T1,VB6_T1,0.036198446531415046,0.037420114722581464,70,85,70,15
PB1_T1,VB6_T2,0.05645435720345781,0.03685281248815177,70,85,70,15
PB1_T1,VB6_T3,0.07447865835866035,0.03858084476973796,70,85,70,15
PB1_T1,VB6_T4,0.08022773355967452,0.03883539191917596,70,85,70,15
PB1_T1,VB6_T5,0.08402572153961396,0.03959470879532236,70,85,70,15
PB1_T1,VB6_T6,0.08563353827802216,0.03935799974448011,70,85,70,15
PB1_T1,VB6_T7,0.09115032759378999,0.03920625388759447,70,85,70,15
PB1_T1,VB6_T8,0.09299284959345314,0.04004311026106671,70,85,70,15
PB1_T1,VB6_T9,0.09428777835825716,0.04034720743417204,70,85,70,15
PB1_T1,VB6_T10,0.09593465922758017,0.040851458862374776,70,85,70,15
PB1_T1,VB6_T11,0.09591060563597793,0.04034666661366409,70,85,70,15
PB1_T1,VB6_T12,0.09676731295545489,0.03997107221582764,70,85,70,15
PB1_T1,V1_T1,0.04710809926803986,0.03468715311013211,70,85,70,15
PB1_T1,V1_T2,0.04785557206894913,0.03549012833573169,70,85,70,15
PB1_T1,V1_T3,0.05059973175251177,0.03572899852032608,70,85,70,15
PB1_T1,V1_T4,0.05655295401653461,0.03684331497894856,70,85,70,15
PB1_T1,V1_T5,0.062325538871414427,0.03827147871766346,70,85,70,15
PB1_T1,V1_T6,0.06680584313711707,0.03825718625403219,70,85,70,15
PB1_T1,V1_T7,0.07233165523382315,0.03707470315640211,70,85,70,15
PB1_T1,V1_T8,0.07722162138502098,0.03833669575291678,70,85,70,15
PB1_T1,V1_T9,0.08120212227877525,0.03916774979280481,70,85,70,15
PB1_T1,V1_T10,0.08674702783353443,0.039017307621197324,70,85,70,15
PB1_T1,V1_T11,0.08856262660744937,0.038560594573120506,70,85,70,15
PB1_T1,V1_T12,0.0956498948287867,0.03760732156603914,70,85,70,15
PB1_T1,V2_T1,0.04009932223680628,0.035731727820121,70,85,70,15
PB1_T1,V2_T2,0.046667191473832914,0.04373173225604179,70,85,70,15
PB1_T1,V2_T3,0.03933750286761525,0.03863201744311237,70,85,70,15
PB1_T1,V2_T4,0.037689766954750986,0.032022359281596344,70,85,70,15
PB1_T1,V2_T5,0.03865223143715642,0.033763283862091355,70,85,70,15
