feature,family,horizon_if_applicable,development_evidence,development_screen_status,eligible_for_ml,reason,mean_pearson_ic,pearson_pct_same_sign,pearson_fdr_reject,pearson_fdr_qvalue,days_scored
PB18_T1,PB,300,"{""mean_pearson_ic"": -0.0044578751868514, ""pearson_fdr_qvalue"": 0.0056409834290619, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6571428571428571}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0044578751868514,0.6571428571428571,True,0.0056409834290619,70
PB18_T10,PB,300,"{""mean_pearson_ic"": -0.0333934301650825, ""pearson_fdr_qvalue"": 0.0246327722828136, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6428571428571429}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0333934301650825,0.6428571428571429,True,0.0246327722828136,70
PB18_T11,PB,300,"{""mean_pearson_ic"": -0.0321093367955164, ""pearson_fdr_qvalue"": 0.0370706162778162, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6285714285714286}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0321093367955164,0.6285714285714286,True,0.0370706162778162,70
PB18_T12,PB,300,"{""mean_pearson_ic"": -0.0418915858688691, ""pearson_fdr_qvalue"": 0.0123091907563508, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6285714285714286}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0418915858688691,0.6285714285714286,True,0.0123091907563508,70
PB18_T2,PB,300,"{""mean_pearson_ic"": -0.0054824718881482, ""pearson_fdr_qvalue"": 0.0266527572306429, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6142857142857143}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0054824718881482,0.6142857142857143,True,0.0266527572306429,70
PB18_T3,PB,300,"{""mean_pearson_ic"": -0.0076059477832119, ""pearson_fdr_qvalue"": 0.0593727194756872, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5857142857142857}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0076059477832119,0.5857142857142857,False,0.0593727194756872,70
PB18_T4,PB,300,"{""mean_pearson_ic"": -0.0090676424619105, ""pearson_fdr_qvalue"": 0.1142310345485539, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0090676424619105,0.5428571428571428,False,0.1142310345485539,70
PB18_T5,PB,300,"{""mean_pearson_ic"": -0.0103243589569681, ""pearson_fdr_qvalue"": 0.1329895385831102, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5428571428571428}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0103243589569681,0.5428571428571428,False,0.1329895385831102,70
PB18_T6,PB,300,"{""mean_pearson_ic"": -0.0114609264970394, ""pearson_fdr_qvalue"": 0.1290059441748172, ""pearson_fdr_reject"": false, ""pearson_pct_same_sign"": 0.5571428571428572}",excluded,False,pearson_fdr_reject=false; pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0114609264970394,0.5571428571428572,False,0.1290059441748172,70
PB18_T7,PB,300,"{""mean_pearson_ic"": -0.0221318213663249, ""pearson_fdr_qvalue"": 0.0377820754263611, ""pearson_fdr_reject"": true, ""pearson_pct_same_sign"": 0.6}",excluded,False,pearson_pct_same_sign<0.70; abs(mean_pearson_ic)<0.05,-0.0221318213663249,0.6,True,0.0377820754263611,70
